时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2014-05-23,五	996.529		1020.380	994.714		1019.619	--		--		189,301,600	2,720,560,500	0		128047		
2014-07-29,二	1146.801	1166.938	1145.888	1159.224	+1.62%		1.85%		304,069,150	4,133,990,000	0		204409		
2014-07-30,三	1157.843	1184.837	1156.739	1179.758	+1.77%		2.42%		397,405,140	5,269,362,100	0		253277		
2014-07-31,四	1176.274	1185.825	1172.230	1183.353	+0.30%		1.15%		316,067,680	3,971,592,700	0		195718		
2014-08-01,五	1179.802	1184.874	1155.854	1157.375	-2.20%		2.45%		273,672,620	3,564,491,600	0		195158		
2014-08-04,一	1159.414	1181.073	1159.193	1178.758	+1.85%		1.89%		228,811,590	2,850,684,400	0		148094		
2014-08-05,二	1183.649	1196.776	1171.629	1195.821	+1.45%		2.13%		297,405,400	3,657,637,500	0		193228		
2014-08-06,三	1190.696	1217.459	1186.368	1210.056	+1.19%		2.60%		395,285,600	5,576,734,800	0		244855		
2014-08-07,四	1213.628	1220.946	1195.881	1198.416	-0.96%		2.07%		325,192,410	4,763,699,200	0		220859		
2014-08-08,五	1202.430	1220.501	1197.337	1215.022	+1.39%		1.93%		303,463,520	4,126,976,500	0		193523		
2014-08-11,一	1221.386	1243.141	1221.154	1242.851	+2.29%		1.81%		334,568,420	4,661,833,800	0		196115		
2014-08-12,二	1249.420	1260.901	1245.750	1254.924	+0.97%		1.22%		399,275,880	5,672,077,100	0		247944		
2014-08-13,三	1251.876	1252.951	1223.013	1250.203	-0.38%		2.39%		446,867,470	5,521,447,300	0		264234		
2014-08-14,四	1247.404	1262.228	1238.832	1239.189	-0.88%		1.87%		393,113,890	4,974,430,600	0		238685		
2014-08-15,五	1245.779	1270.675	1243.864	1267.634	+2.30%		2.16%		358,441,340	4,854,057,400	0		222377		
2014-08-18,一	1276.783	1287.364	1268.791	1287.034	+1.53%		1.47%		382,106,810	5,135,507,200	0		243967		
2014-08-19,二	1290.223	1304.101	1284.907	1303.821	+1.30%		1.49%		404,424,230	5,484,326,400	0		256741		
2014-08-20,三	1309.659	1316.235	1295.544	1300.986	-0.22%		1.59%		343,474,850	4,784,973,200	0		227659		
2014-08-21,四	1305.793	1314.448	1294.820	1311.563	+0.81%		1.51%		367,260,920	5,554,614,300	0		242644		
2014-08-22,五	1308.312	1336.425	1306.772	1334.372	+1.74%		2.26%		400,332,350	7,139,343,700	0		274698		
2014-08-25,一	1329.614	1329.788	1305.886	1306.872	-2.06%		1.79%		330,374,110	5,816,137,700	0		237660		
2014-08-26,二	1302.894	1303.917	1266.188	1270.677	-2.77%		2.89%		317,749,660	5,246,517,300	0		232733		
2014-08-27,三	1270.621	1309.239	1270.069	1298.687	+2.20%		3.08%		308,189,780	5,707,727,600	0		222392		
2014-08-28,四	1296.909	1296.909	1273.480	1275.546	-1.78%		1.80%		226,626,460	4,351,744,800	0		177939		
2014-08-29,五	1273.696	1302.216	1273.696	1302.100	+2.08%		2.24%		212,815,980	3,714,773,900	0		158683		
2014-09-01,一	1314.066	1344.263	1314.066	1343.581	+3.19%		2.32%		326,360,560	5,741,627,100	0		235513		
2014-09-02,二	1354.872	1406.747	1354.872	1400.154	+4.21%		3.86%		653,629,090	11,288,957,600	0		440558		
2014-09-03,三	1402.744	1415.905	1392.663	1405.964	+0.41%		1.66%		557,045,030	9,913,411,400	0		375743		
2014-09-04,四	1409.177	1455.574	1399.670	1435.623	+2.11%		3.98%		610,537,550	10,919,381,400	0		413871		
2014-09-05,五	1441.887	1442.540	1427.661	1441.822	+0.43%		1.04%		458,742,250	7,196,750,900	0		293955		
2014-09-09,二	1441.428	1446.540	1422.947	1436.644	-0.36%		1.64%		396,068,540	6,713,180,600	0		258211		
2014-09-10,三	1436.056	1463.613	1427.697	1461.132	+1.70%		2.50%		431,605,740	7,103,431,000	0		288471		
2014-09-11,四	1459.272	1479.329	1440.344	1455.287	-0.40%		2.67%		480,371,330	8,081,759,400	0		323951		
2014-09-12,五	1456.874	1502.848	1456.874	1502.848	+3.27%		3.16%		495,734,660	8,730,684,200	0		332001		
2014-09-15,一	1505.580	1524.434	1495.265	1514.939	+0.80%		1.94%		431,556,130	7,870,070,100	0		293777		
2014-09-16,二	1519.417	1522.052	1443.209	1447.820	-4.43%		5.20%		525,893,020	9,327,297,700	0		385591		
2014-09-17,三	1453.674	1463.808	1420.374	1454.429	+0.46%		3.00%		375,975,320	6,901,130,800	0		259284		
2014-09-18,四	1440.392	1460.346	1435.293	1448.575	-0.40%		1.72%		283,283,340	4,714,172,400	0		193422		
2014-09-19,五	1447.389	1475.342	1443.851	1469.862	+1.47%		2.17%		300,046,280	5,234,060,500	0		207224		
2014-09-22,一	1465.963	1466.027	1435.671	1438.867	-2.11%		2.07%		250,901,960	4,199,441,000	0		187324		
2014-09-23,二	1438.929	1480.531	1438.303	1479.468	+2.82%		2.93%		354,535,860	5,787,770,300	0		244523		
2014-09-25,四	1515.754	1548.303	1513.118	1524.517	+3.04%		2.38%		485,689,760	8,843,525,900	0		344479		
2014-09-26,五	1520.407	1522.926	1500.920	1510.531	-0.92%		1.44%		294,730,250	5,034,915,700	0		212653		
2014-09-29,一	1510.393	1525.833	1509.808	1522.943	+0.82%		1.06%		288,357,540	5,054,983,600	0		207976		
2014-09-30,二	1523.803	1544.396	1515.990	1543.800	+1.37%		1.87%		312,186,010	5,408,977,800	0		218298		
2014-10-08,三	1547.378	1570.044	1539.028	1566.255	+1.45%		2.01%		322,608,230	5,948,425,500	0		231133		
2014-10-09,四	1564.987	1570.811	1521.403	1545.181	-1.35%		3.15%		346,696,370	6,497,203,300	0		255335		
2014-10-13,一	1534.434	1540.124	1504.865	1539.843	-0.35%		2.28%		325,146,410	6,042,090,100	0		232223		
2014-10-14,二	1535.713	1555.661	1513.665	1523.884	-1.04%		2.73%		310,319,300	5,780,607,100	0		227457		
2014-10-15,三	1524.230	1530.533	1494.583	1516.403	-0.49%		2.36%		308,848,600	5,476,726,300	0		225241		
2014-10-16,四	1503.720	1513.921	1470.497	1470.497	-3.03%		2.86%		279,498,610	5,011,700,900	0		208842		
2014-10-17,五	1456.303	1456.431	1419.221	1447.544	-1.56%		2.53%		279,098,930	4,886,794,400	0		213004		
2014-10-20,一	1447.017	1474.040	1447.017	1471.145	+1.63%		1.87%		193,779,800	3,476,978,600	0		138513		
2014-10-21,二	1478.255	1485.366	1454.655	1455.697	-1.05%		2.09%		174,323,300	3,109,641,000	0		137623		
2014-10-22,三	1460.913	1479.594	1448.782	1450.662	-0.35%		2.12%		256,319,920	4,650,387,800	0		183437		
2014-10-23,四	1444.417	1456.527	1418.936	1437.542	-0.90%		2.59%		232,209,190	4,236,321,200	0		168236		
2014-10-24,五	1437.019	1448.854	1429.604	1435.979	-0.11%		1.34%		192,288,670	3,314,969,000	0		130184		
2014-10-27,一	1433.759	1466.009	1420.058	1462.263	+1.83%		3.20%		190,568,220	3,303,290,000	0		126563		
2014-10-28,二	1470.504	1512.870	1470.504	1512.870	+3.46%		2.90%		294,938,010	5,348,025,400	0		200351		
2014-10-29,三	1517.671	1531.221	1514.645	1521.486	+0.57%		1.10%		332,394,410	6,044,746,900	0		219297		
2014-10-30,四	1517.847	1524.992	1498.399	1509.446	-0.79%		1.75%		273,826,640	4,896,132,900	0		194335		
